datalist,proxylist
alfalfa,alfalfa
almond,almond
apple,apple
apricot,apricot
artichoke,artichoke
asparagus,asparagus
avocado,avocado
banana,banana
barley,barley
barley_spring,barley
barley_summer,barley
barley_winter,barley
bean_azuhi,pulsenes
bean_french,greenbean
beet_forage,beetfor
cabbage,cabbage
cabbage_forage,cabbagefor
carrot,carrot
cassava,cassava
castor,castor
cauliflower,cauliflower
cg_beanandbroadbean,bean+ broadbean
cg_buckwheatandmillet,buckwheat+ millet
cg_cereals,barley+ buckwheat+ canaryseed+ cerealnes+ fonio+ maize+ millet+ mixedgrain+ oats+ popcorn+ quinoa+ rice+ rye+ sorghum+ triticale+ wheat
cg_cereals_other_turkey,buckwheat+ canaryseed+ cerealnes+ fonio+ millet+ mixed grain+ oats+ popcorn+ quinoa+ rice+ rye+ sorghum+ triticale
cg_cerealsandpulses_latvia,barley+ buckwheat+ canaryseed+ cerealnes+ fonio+ maize+ millet+ mixedgrain+ oats+ popcorn+ quinoa+ rice+ rye+ sorghum+ triticale+ wheat+ bambara+ bean+ broadbean+ chickpea+ cowpea+ lentil+ lupin+ pea+ pigeonpea+ pulsenes
cg_fodderandforage,alfalfa+ beetfor+ cabbagefor+ clove+ fornes+ grassnes+ oilseedfor+ legumenes+ maizefor+ mixedgrass+ ryefor+ sorghumfor+ swedefor+ turnipfor+ vegfor
cg_fodder_legume,legumenes
cg_fodderannual_czech,alfalfa+ beetfor+ cabbagefor+ oilseedfor+ legumenes+ maizefor+ mixedgrass+ ryefor+ sorghumfor+ swedefor+ turnipfor+ vegfor
cg_fruit,apple+ apricot+ avocado+ banana+ berrynes+ blueberry+ carob+ cashewapple+ cherry+ citrusnes+ cranberry+ currant+ date+ fig+ fruitnes+ tropicalnes+ gooseberry+ grapefruitetc+ grape+ kiwi+ lemonlime+ mango+ orange+ papaya+ peachetc+ pear+ persimmon+ pineapple+ plantain+ plum+ quince+ rasberry+ sourcherry+ stonefruitnes+ strawberry+ tangetc+ watermelon
cg_fruit_appleandpear,apple+ pear
cg_fruit_deciduous,apple+ apricot+ berrynes+ blueberry+ carob+ cashewapple+ cherry+ cranberry+ currant+ fig+ fruitnes+ gooseberry+ kiwi+ peachetc+ pear+ persimmon+ plum+ quince+ rasberry+ sourcherry+ stonefruitnes+ strawberry
cg_fruit_peachandplum,peachetc+ plum
cg_fruit_tropicalandsubtropical,avocado+ banana+ date+ tropicalnes+ mango+ papaya+ pineapple+ plantain
cg_fruitcitrus,grapefruitetc+ lemonlime+ orange+ tangetc+ citrusnes
cg_fruitnoncitrus,apple+ apricot+ avocado+ banana+ berrynes+ blueberry+ carob+ cashewapple+ cherry+ citrusnes+ cranberry+ currant+ date+ fig+ fruitnes+ tropicalnes+ gooseberry+ grape+ kiwi+ mango+ papaya+ peachetc+ pear+ persimmon+ pineapple+ plantain+ plum+ quince+ rasberry+ sourcherry+ stonefruitnes+ strawberry+ watermelon
