CLAF,PRID,Drain,Layer,TopDep,BotDep,CFRAG,SDTO,STPC,CLPC,PSCL,BULK,TAWK,TAWC,CECS,BSAT,CECc,PHAQ,TCEQ,GYPS,ELCO,TOTC,TOTN,CNrt,ECEC,ALSA,ESP
A,WD-A,W,D1,0,20,10,55,22,23,M,1.399999976,,9,6.409999847,40,15.30000019,5.119999886,0,0,0,10.39999962,0.850000024,11.69999981,7,21,3
A,WD-A,W,D2,20,40,10,49,20,31,M,1.399999976,,8,5.739999771,29,14.19999981,4.960000038,0,0,0,5.340000153,0.550000012,10,5.929999828,26,4
A,WD-A,W,D3,40,60,10,45,19,36,F,1.399999976,,9,5.929999828,25,13,5,0,0,0,4,0.479999989,8.81000042,6,33,3
A,WD-A,W,D4,60,80,10,42,19,39,F,1.399999976,,9,6.099999905,24,13,5,0,0,0,3.269999981,0.400000006,7.75,6,37,3
A,WD-A,W,D5,80,100,10,41,19,40,F,1.399999976,,8,6.239999771,23,12.27000046,5,0,0,0,2.900000095,0.400000006,7.329999924,7,40,3
Af,WD-Af,W,D1,0,20,10,56,20,24,M,1.399999976,,8,6.570000172,43,13.5,5.239999771,0,0,0,10.60000038,0.800000012,12.25,7.650000095,21,3
Af,WD-Af,W,D2,20,40,15,50,18,32,M,1.409999967,,8,5.800000191,30,13,5,0,0,0,5.400000095,0.550000012,10.25,6.5,26,4
Af,WD-Af,W,D3,40,60,14,45,17,38,F,1.409999967,,8,5.949999809,26,12.25,5.050000191,0,0,0,4.059999943,0.449999988,8.899999619,6.650000095,36,3
Af,WD-Af,W,D4,60,80,15,42,18,40,F,1.429999948,,8,6.099999905,25,12,5.050000191,0,0,0,3.299999952,0.400000006,7.329999924,7,40,3
Af,WD-Af,W,D5,80,100,10,41,18,41,F,1.399999976,,9,6.199999809,24,11.68000031,5.050000191,0,0,0,2.950000048,0.400000006,7,7,43,3
Ag,WD-Ag,I,D1,0,20,10,51,30,19,M,1.389999986,,19,5.599999905,36,20.5,5,0,0,0,8.75,0.699999988,10.88000011,7,53,4
Ag,WD-Ag,I,D2,20,40,10,46,28,26,M,1.450000048,,17,6,30,23.39999962,4.96999979,0,0,0,3.599999905,0.370000005,10,6.800000191,78,5
Ag,WD-Ag,I,D3,40,60,10,42,26,32,M,1.480000019,,15,8.859999657,26,26,4.96999979,0,0,0,2.660000086,0.300000012,7.28000021,7,78,4
Ag,WD-Ag,I,D4,60,80,10,39,25,36,F,1.5,,18,9.649999619,27,24,5,0,0,0,2.359999895,0.300000012,7,7.53000021,78,3
Ag,WD-Ag,I,D5,80,100,10,38,26,36,F,1.5,,17,10,26,21.79999924,5.070000172,0,0,0,1.899999976,0.300000012,7,9,80,4
Ah,WD-Ah,W,D1,0,20,8,40,25,35,F,1.25,,9,13.56000042,36,15,4.96999979,0,0,0,24.87999916,1.870000005,13.11999989,13.5,15,2
Ah,WD-Ah,W,D2,20,40,10,37,23,40,F,1.350000024,,8,9.600000381,32,14.32999992,5,0,0,0,14.35999966,1.049999952,11.31999969,16.20000076,15,2
Ah,WD-Ah,W,D3,40,60,11,33,22,45,F,1.350000024,,8,8.590000153,25,13.30000019,5,0,0,0,9.260000229,0.800000012,10.61999989,17.60000038,15,2
Ah,WD-Ah,W,D4,60,80,11,32,21,47,F,1.350000024,,8,8.300000191,24,13.5,5,0,0,0,7.110000134,0.600000024,9.800000191,17,15,2
Ah,WD-Ah,W,D5,80,100,15,32,20,48,F,1.340000033,,7,8.350000381,26,13,5.050000191,0,0,0,5.599999905,0.600000024,10.52000046,15.5,13,2
Ao,WD-Ao,W,D1,0,20,8,60,20,20,M,1.399999976,,10,5.849999905,44,18,5.179999828,0,0,0,9.199999809,0.75999999,11.46000004,6,23,3
Ao,WD-Ao,W,D2,20,40,8,54,19,27,M,1.399999976,,10,4.849999905,31,15,5,0,0,0,4.900000095,0.5,9.829999924,4.619999886,27,4
Ao,WD-Ao,W,D3,40,60,10,50,18,32,M,1.399999976,,10,5,28,13.75,5,0,0,0,4,0.400000006,8.329999924,4,29,3
Ao,WD-Ao,W,D4,60,80,10,47,18,35,F,1.409999967,,11,5.400000095,25,13.5,5,0,0,0,3,0.400000006,7.510000229,4.25,34,3
Ao,WD-Ao,W,D5,80,100,6,46,18,36,F,1.399999976,,9,5.400000095,25,12.75,5,0,0,0,2.799999952,0.400000006,7.5,4,40,3
Ap,WD-Ap,M,D1,0,20,10,54,25,21,M,1.470000029,,7,5.449999809,21,13.10000038,4.829999924,0,0,0,8.800000191,0.850000024,11.60000038,5.800000191,24,3
