Crop,Name,Path,Suitability,Bins,Conversion..mt..lt..,5% Area Cult. Filter, data source notes
Sugarcane,sugarcane,sugarcane_5min.nc,~/sandbox/jsg003_YieldGapWork/YieldGap/gdd8aei.nc,100,81.37,17.9057149, licker
Sugarbeet,sugarbeet,sugarbeet_5min.nc,~/sandbox/jsg003_YieldGapWork/YieldGap/gdd2aei.nc,100,103.48,10.83151283, licker
Cassava,cassava,cassava_5min.nc,~/sandbox/jsg003_YieldGapWork/YieldGap/gdd8aei.nc,100,180,11.25042077, licker
Rice,rice,rice_5min.nc,~/sandbox/jsg003_YieldGapWork/YieldGap/gdd5aei.nc,100,430,141.4448068, licker
Maize,maize,maize_5min.nc,~/sandbox/jsg003_YieldGapWork/YieldGap/gdd8aei.nc,100,409.8,61.19889615, licker
Potato,potato,potato_5min.nc,~/sandbox/jsg003_YieldGapWork/YieldGap/gdd2aei.nc,100,110,11.07909803, licker
Wheat,wheat,wheat_5min.nc,~/sandbox/jsg003_YieldGapWork/YieldGap/gdd0aei.nc,100,389.45,142.7602255, licker
Barley,barley,barley_5min.nc,~/sandbox/jsg003_YieldGapWork/YieldGap/gdd1aei.nc,100,243.41,41.77072903, licker
Sorghum,sorghum,sorghum_5min.nc,~/sandbox/jsg003_YieldGapWork/YieldGap/gdd8aei.nc,100,402.37,32.74703499, licker
Oil Palm,oilpalm,oilpalm_5min.nc,~/sandbox/jsg003_YieldGapWork/YieldGap/gdd8aei.nc,100,222.75,23.35994187, licker
Rapeseed,rapeseed,rapeseed_5min.nc,~/sandbox/jsg003_YieldGapWork/YieldGap/gdd2aei.nc,100,391.59,28.21375149, licker
Sunflower,sunflower,sunflower_5min.nc,~/sandbox/jsg003_YieldGapWork/YieldGap/gdd8aei.nc,100,418,17.47920867, licker
Soybean,soybean,soybean_5min.nc,~/sandbox/jsg003_YieldGapWork/YieldGap/gdd8aei.nc,100,183.31,67.24644679, licker
Groundnut,groundnut,groundnut_5min.nc,~/sandbox/jsg003_YieldGapWork/YieldGap/gdd8aei.nc,100,308.8631,18.98696513, licker
Cotton,cotton,cotton_5min.nc,~/sandbox/jsg003_YieldGapWork/YieldGap/gdd8aei.nc,100,102.9236,25.0582633, licker
Rye,rye,rye_5min.nc,~/sandbox/jsg003_YieldGapWork/YieldGap/gdd2aei.nc,100,0,8.061025691, licker
Millet,millet,millet_5min.nc,~/sandbox/jsg003_YieldGapWork/YieldGap/gdd8aei.nc,100,0,31.04040339, licker
Pulses,pulsenes,pulsenes_5min.nc,~/sandbox/jsg003_YieldGapWork/YieldGap/gdd2aei.nc,100,0,3.816149073, licker
Lentils,Lentils,lentil_5min.nc,~/sandbox/jsg003_YieldGapWork/YieldGap/gdd5aei.nc,100,0,0, unknown
Oats,Oats,oats_5min.nc,~/sandbox/jsg003_YieldGapWork/YieldGap/gdd1aei.nc,100,0,0, unknown
Bean,Bean,bean_5min.nc,~/sandbox/jsg003_YieldGapWork/YieldGap/gdd10aei.nc,100,0,0, unknown
Tomato,Tomato,tomato_5min.nc,~/sandbox/jsg003_YieldGapWork/YieldGap/gdd5aei.nc,100,0,0, AquaCrop
Broccoli,Broccoli,broccoli_5min.nc,~/sandbox/jsg003_YieldGapWork/YieldGap/gdd0aei.nc,100,0,0, D.K.Y. Tan et al. Scientia Horticulurae 84 (2000) 227-243
Carrots,Carrots,carrots_5min.nc,~/sandbox/jsg003_YieldGapWork/YieldGap/gdd2aei.nc,100,0,0, Growing Carrots_beets_...wisconsin
GreenPeas,GreenPeas,greenpea_5min,~/sandbox/jsg003_YieldGapWork/YieldGap/gdd3aei.nc,100,0,0, F.C. Olivier et al. Field Crops Research 56 (1998) 301-307
GreenBeans,GreenBeans,greenbean_5min,~/sandbox/jsg003_YieldGapWork/YieldGap/gdd4aei.nc,100,0,0, unknown
Quinoa,Quinoa,quinoa_5min,~/sandbox/jsg003_YieldGapWork/YieldGap/gdd2aei.nc,100,0,0,aquastat appendix
