CROPNAME,GROUP,Legume,C3C4,Ann-Per,Form,Harvest Index,Dry Fraction,Aboveground Fraction,N Perc Dry Harv,P Perc Dry Harv,K Perc Dry Harv,Nfix Low,Nfix High,Percent Notes,Nfix Notes
quince,Fruit,nonlegume,C3,perennial,tree,0.3,0.16,0.75,0.225,0.09,0.546666667,,,Average of USDA values in GROUP,
apricot,Fruit,nonlegume,C3,perennial,tree,0.3,0.14,0.75,0.225,0.09,0.546666667,,,Average of USDA values in GROUP,
sourcherry,Fruit,nonlegume,C3,perennial,tree,0.3,0.14,0.75,0.225,0.09,0.546666667,,,Average of USDA values in GROUP,
cherry,Fruit,nonlegume,C3,perennial,tree,0.3,0.14,0.75,0.225,0.09,0.546666667,,,Average of USDA values in GROUP,
peachetc,Fruit,nonlegume,C3,perennial,tree,0.3,0.14,0.75,0.12,0.03,0.19,,,USDA,
plum,Fruit,nonlegume,C3,perennial,tree,0.3,0.15,0.75,0.225,0.09,0.546666667,,,Average of USDA values in GROUP,
stonefruitnes,Fruit,nonlegume,C3,perennial,tree,0.3,0.19,0.75,0.225,0.09,0.546666667,,,Average of USDA values in GROUP,
strawberry,Fruit,nonlegume,C3,perennial,shrub,0.3,0.08,0.75,0.225,0.09,0.546666667,,,Average of USDA values in GROUP,
rasberry,Fruit,nonlegume,C3,perennial,shrub,0.3,0.13,0.75,0.225,0.09,0.546666667,,,Average of USDA values in GROUP,
gooseberry,Fruit,nonlegume,C3,perennial,shrub,0.3,0.19,0.75,0.225,0.09,0.546666667,,,Average of USDA values in GROUP,
currant,Fruit,nonlegume,C3,perennial,tree,0.3,0.19,0.75,0.225,0.09,0.546666667,,,Average of USDA values in GROUP,
blueberry,Fruit,nonlegume,C3,perennial,shrub,0.3,0.15,0.75,0.225,0.09,0.546666667,,,Average of USDA values in GROUP,
cranberry,Fruit,nonlegume,C3,perennial,shrub,0.3,0.19,0.75,0.225,0.09,0.546666667,,,Average of USDA values in GROUP,
berrynes,Fruit,nonlegume,C3,perennial,shrub,0.3,0.19,0.75,0.225,0.09,0.546666667,,,Average of USDA values in GROUP,
grape,Fruit,nonlegume,C3,perennial,shrub,0.3,0.19,0.75,0.28,0.1,0.5,,,USDA,
fig,Fruit,nonlegume,C3,perennial,tree,0.3,0.21,0.75,0.225,0.09,0.546666667,,,Average of USDA values in GROUP
mango,Fruit,nonlegume,C3,perennial,tree,0.3,0.18,0.75,0.225,0.09,0.546666667,,,Average of USDA values in GROUP
avocado,Fruit,nonlegume,C3,perennial,tree,0.3,0.26,0.75,0.225,0.09,0.546666667,,,Average of USDA values in GROUP
pineapple,Fruit,nonlegume,CAM,perennial,shrub,0.3,0.14,0.75,0.43,0.35,1.68,,,USDA
date,Fruit,nonlegume,C3,perennial,tree,0.3,0.19,0.75,0.225,0.09,0.546666667,,,Average of USDA values in GROUP
persimmon,Fruit,nonlegume,C3,perennial,tree,0.3,0.36,0.75,0.225,0.09,0.546666667,,,Average of USDA values in GROUP
cashewapple,Fruit,nonlegume,C3,perennial,tree,0.3,0.19,0.75,0.225,0.09,0.546666667,,,Average of USDA values in GROUP
kiwi,Fruit,nonlegume,C3,perennial,tree,0.3,0.13,0.75,0.225,0.09,0.546666667,,,Average of USDA values in GROUP
papaya,Fruit,nonlegume,C3,perennial,tree,0.3,0.11,0.75,0.225,0.09,0.546666667,,,Average of USDA values in GROUP
tropicalnes,Fruit,nonlegume,C3,perennial,tree,0.3,0.19,0.75,0.225,0.09,0.546666667,,,Average of USDA values in GROUP
fruitnes,Fruit,nonlegume,C3,perennial,tree,0.3,0.19,0.75,0.225,0.09,0.546666667,,,Average of USDA values in GROUP
soybean,Oilcrops,legume,C3,annual,herbaceous,0.42,0.91,0.85,6.25,0.64,1.9,15,443,USDA
groundnut,Oilcrops,legume,C3,annual,herbaceous,0.4,0.92,0.8,3.6,0.17,0.5,37,206,USDA
coconut,Oilcrops,nonlegume,C3,perennial,tree,0.28,0.8,0.5,5,0.6,3.33,,,USDA
oilpalm,Oilcrops,nonlegume,C3,perennial,tree,0.28,0.8,0.5,1.13,0.26,0.16,,,USDA
olive,Oilcrops,nonlegume,C3,perennial,tree,0.28,0.8,0.5,3.065,0.43,1.745,,,Average of USDA values of nonlegume oilcrop trees
karite,Oilcrops,nonlegume,C3,perennial,tree,0.28,0.8,0.5,3.065,0.43,1.745,,,Average of USDA values of nonlegume oilcrop trees
castor,Oilcrops,nonlegume,C3,annual,herbaceous,0.52,0.73,0.8,3.585,1.25,0.935,,,Average of USDA values of nonlegume oilcrop annuals
sunflower,Oilcrops,nonlegume,C3,annual,herbaceous,0.39,0.94,0.94,3.57,1.71,1.11,,,USDA
rapeseed,Oilcrops,nonlegume,C3,annual,herbaceous,0.3,0.73,0.8,3.6,0.79,0.76,,,USDA
tung,Oilcrops,nonlegume,C3,perennial,tree,0.28,0.8,0.5,3.065,0.43,1.745,,,Average of USDA values of nonlegume oilcrop trees
safflower,Oilcrops,nonlegume,C3,annual,herbaceous,0.52,0.91,0.8,3.57,1.71,1.11,,,Average of USDA values of nonlegume oilcrop annuals
sesame,Oilcrops,nonlegume,C3,annual,herbaceous,0.52,0.92,0.8,3.57,1.71,1.11,,,Average of USDA values of nonlegume oilcrop annuals
mustard,Oilcrops,nonlegume,C3,annual,herbaceous,0.52,0.73,0.8,3.57,1.71,1.11,,,Average of USDA values of nonlegume oilcrop annuals
poppy,Oilcrops,nonlegume,C3,annual,herbaceous,0.52,0.73,0.8,3.57,1.71,1.11,,,Average of USDA values of nonlegume oilcrop annuals
melonseed,Oilcrops,nonlegume,C3,annual,herbaceous,0.52,0.73,0.8,3.57,1.71,1.11,,,Average of USDA values of nonlegume oilcrop annuals
linseed,Oilcrops,nonlegume,C3,annual,herbaceous,0.52,0.73,0.8,3.57,1.71,1.11,,,Average of USDA values of nonlegume oilcrop annuals
hempseed,Oilcrops,nonlegume,C3,annual,herbaceous,0.52,0.73,0.8,3.57,1.71,1.11,,,Average of USDA values of nonlegume oilcrop annuals
oilseednes,Oilcrops,nonlegume,C3,annual,herbaceous,0.52,0.73,0.8,3.57,1.71,1.11,,,Average of USDA values of nonlegume oilcrop annuals
chicory,OtherCrops,nonlegume,C3,annual,herbaceous,0.28,0.8,0.8,2.075,0.225,2.735,,,Average of USDA values in GROUP
hop,OtherCrops,nonlegume,C3,perennial,shrub,0.28,0.8,0.5,2.075,0.225,2.735,,,Average of USDA values in GROUP
peppermint,OtherCrops,nonlegume,C3,perennial,herbaceous,0.28,0.8,0.5,2.075,0.225,2.735,,,Average of USDA values in GROUP
pyrethrum,OtherCrops,nonlegume,C3,perennial,shrub,0.28,0.8,0.5,2.075,0.225,2.735,,,Average of USDA values in GROUP,
areca,OtherCrops,nonlegume,C3,perennial,tree,0.28,0.8,0.5,2.075,0.225,2.735,,,Average of USDA values in GROUP,
kolanut,OtherCrops,nonlegume,C3,perennial,tree,0.28,0.8,0.5,2.075,0.225,2.735,,,Average of USDA values in GROUP,
bean,Pulses,legume,C3,annual,herbaceous,0.55,0.9,0.74,3.13,0.45,0.86,3,160,USDA,Smil 1999
broadbean,Pulses,legume,C3,annual,herbaceous,0.49,0.9,0.85,3.405,0.425,0.88,45,300,Average of USDA values in GROUP,Smil 1999
pea,Pulses,legume,C3,annual,herbaceous,0.45,0.89,0.85,3.68,0.4,0.9,10,244,USDA,Smil 1999
chickpea,Pulses,legume,C3,annual,herbaceous,0.44,0.9,0.85,3.405,0.425,0.88,3,141,Average of USDA values in GROUP,Smil 1999
cowpea,Pulses,legume,C3,annual,herbaceous,0.55,0.9,0.85,3.405,0.425,0.88,7,235,Average of USDA values in GROUP,Smil 1999
pigeonpea,Pulses,legume,C3,annual,herbaceous,0.23,0.9,0.85,3.405,0.425,0.88,7,235,Average of USDA values in GROUP,Smil 1999
lentil,Pulses,legume,C3,annual,herbaceous,0.46,0.89,0.85,3.405,0.425,0.88,10,192,Average of USDA values in GROUP,Smil 1999
bambara,Pulses,legume,C3,annual,herbaceous,0.49,0.9,0.85,3.405,0.425,0.88,7,235,Average of USDA values in GROUP,Smil 1999
vetch,Pulses,legume,C3,annual,herbaceous,0.49,0.9,0.85,3.405,0.425,0.88,7,235,Average of USDA values in GROUP,Smil 1999
