Crop,Name,Path,Suitability,Bins,Conversion..mt..lt..,5% Area Cult. Filter
Barley,barley,barley_5min.nc,gdd1aei.nc,100,243.41,41.77072903
Bean,Bean,bean_5min.nc,gdd10aei.nc,100,0,0
Carrots,Carrot,carrot_5min.nc,gdd2aei.nc,100,0,0
Cassava,cassava,cassava_5min.nc,gdd8aei.nc,100,180,11.25042077
Castor,castor,castor_5min.nc,gdd8aei.nc,100,183.31,67.24644679
Coconut,coconut,coconut_5min.nc,gdd8aei.nc,100,183.31,67.24644679
Cotton,cotton,cotton_5min.nc,gdd8aei.nc,100,102.9236,25.0582633
Cotton,cotton,cotton_5min.nc,gdd8aei.nc,100,183.31,67.24644679
grape,grape,grape_5min.nc,gdd8aeinc.nc,100,183.31,67.24644679
GreenBeans,GreenBean,greenbean_5min,gdd4aei.nc,100,0,0
GreenPeas,GreenPea,greenpea_5min,gdd3aei.nc,100,0,0
Groundnut,groundnut,groundnut_5min.nc,gdd8aei.nc,100,308.8631,18.98696513
Lentils,Lentil,lentil_5min.nc,gdd5aei.nc,100,0,0
Maize,maize,maize_5min.nc,gdd8aei.nc,100,409.8,61.19889615
Maizefor,maizefor,maizefor_5min.nc,gdd8aei.nc,100,409.8,61.19889615
MaizeHiIncome,maize,MaizeHiIncome_5min.nc,gdd8aei.nc,100,409.8,61.19889615
MaizeLoIncome,maize,MaizeLoIncome_5min.nc,gdd8aei.nc,100,409.8,61.19889615
Millet,millet,millet_5min.nc,gdd8aei.nc,100,0,31.04040339
Mustard,mustard,mustard_5min.nc,gdd2aei.nc,100,183.31,67.24644679
Oats,Oats,oats_5min.nc,gdd1aei.nc,100,0,0
Oil Palm,oilpalm,oilpalm_5min.nc,gdd8aei.nc,100,222.75,23.35994187
Potato,potato,potato_5min.nc,gdd2aei.nc,100,110,11.07909803
Pulses,pulsenes,pulsenes_5min.nc,gdd2aei.nc,100,0,3.816149073
Quinoa,Quinoa,quinoa_5min,gdd2aei.nc,100,0,0
RainFedMaize10,maize,maizerf10_5min.nc,gdd8aei.nc,100,409.8,61.19889615
RainFedMaize25,maize,maizerf25_5min.nc,gdd8aei.nc,100,409.8,61.19889615
RainFedMaize5,maize,maizerf5_5min.nc,gdd8aei.nc,100,409.8,61.19889615
RainFedSoybean10,soybean,soybeanrf10_5min.nc,gdd8aei.nc,100,183.31,67.24644679
RainFedSoybean25,soybean,soybeanrf25_5min.nc,gdd8aei.nc,100,183.31,67.24644679
RainFedSoybean5,soybean,soybeanrf5_5min.nc,gdd8aei.nc,100,183.31,67.24644679
Rapeseed,rapeseed,rapeseed_5min.nc,gdd2aei.nc,100,391.59,28.21375149
Rice,rice,rice_5min.nc,gdd5aei.nc,100,430,141.4448068
Rye,rye,rye_5min.nc,gdd2aei.nc,100,0,8.061025691
Ryefor,ryefor,ryefor_5min.nc,gdd2aei.nc,100,0,8.061025691
Sesame,sesame,sesame_5min.nc,gdd8aei.nc,100,183.31,67.24644679
Sorghum,sorghum,sorghum_5min.nc,gdd8aei.nc,100,402.37,32.74703499
Sorghumfor,sorghumfor,sorghumfor_5min.nc,gdd8aei.nc,100,402.37,32.74703499
Soybean,soybean,soybean_5min.nc,gdd8aei.nc,100,183.31,67.24644679
SoybeanHiIncome,soybean,SoybeanHiIncome_5min.nc,gdd8aei.nc,100,183.31,67.24644679
SoybeanLoIncome,soybean,SoybeanLoIncome_5min.nc,gdd8aei.nc,100,183.31,67.24644679
Sugarbeet,sugarbeet,sugarbeet_5min.nc,gdd2aei.nc,100,103.48,10.83151283
Sugarcane,sugarcane,sugarcane_5min.nc,gdd8aei.nc,100,81.37,17.9057149
Sunflower,sunflower,sunflower_5min.nc,gdd8aei.nc,100,418,17.47920867
Sweet Potato,sweetpotato,sweetpotato_5min.nc,gdd8aei.nc,100,183.31,67.24644679
Coconut,coconut,coconut_5min.nc,gdd8aei.nc,100,183.31,67.24644679
Castor,castor,castor_5min.nc,gdd8aei.nc,100,183.31,67.24644679
Mustard,mustard,mustard_5min.nc,gdd2aei.nc,100,183.31,67.24644679
Cotton,cotton,cotton_5min.nc,gdd8aei.nc,100,183.31,67.24644679
Sesame,sesame,sesame_5min.nc,gdd8aei.nc,100,183.31,67.24644679
grape,grape,grape_5min.nc,gdd8aei.nc,100,183.31,67.24644679
Ryefor,ryefor,ryefor_5min.nc,gdd2aei.nc,100,0,8.061025691
Sorghumfor,sorghumfor,sorghumfor_5min.nc,gdd8aei.nc,100,402.37,32.74703499
Maizefor,maizefor,maizefor_5min.nc,gdd8aei.nc,100,409.8,61.19889615
